"1067","0090","Sm5"
"1068","0018","A2"
"1068","0022","C"
"1068","0090","Sm5"
"1069","0018","A2"
"1069","0022","C"
"1069","0090","Sm5"
"107","0040","MLNRV2"
"107","0050",
"1070","0018","A2"
"1070","0022","C"
"1070","0090","Sm5"
"1071","0022","C"
"1071","0090","Sm5"
"1072","0022","C"
"1072","0090","Sm5"
"1073","0022","C"
"1073","0090","Sm5"
"1074","0022","A2"
"1074","0090","Sm5"
"1075","0022","A2"
"1075","0090","Sm5"
"1076","0022","A2"
"1076","0090","Sm5"
"1077","0022","A2"
"1077","0090","Sm5"
"1078","0022","A2"
"1078","0090","Sm5"
"1079","0022","A1"
"1079","0090","Sm5"
"108","0040","MLNRV2"
"1080","0022","A1"
"1080","0090","Sm5"
"1081","0022","A1"
"1081","0090","Sm5"
"1082","0022","A1"
"1083","0022","A1"
"1084","0022","A1"
"1085","0022","A1"
"1086","0022","A1"
"1087","0022","A1"
"1088","0022","C"
"1089","0022","C"
"109","0040","MLNRV2"
"109","0050",
"1090","0022","C"
"1091","0022","A2"
"1092","0022","A2"
"1093","0022","A2"
"1094","0022","A2"
"1095","0022","A2"
"1096","0022","A2"
"1097","0022","A2"
"1098","0022","A2"
"1099","0022","A2"
"11","0012","C"
"11","0017","A2"
"11","0022","C"
"11","0030","C"
"11","0047","MB"
"11","0054","MB"
"110","0040","MLNRV2"
"1100","0022","A2"
"1101","0012","A2"
"1101","0022","A2"
"1102","0012","A2"
"1102","0022","C"
"1103","0012","A2"
"1103","0022","C"
"1104","0012","A2"
"1104","0022","C"
"1105","0012","A2"
"1105","0022","C"
"1106","0012","A2"
"1106","0022","C"
"1107","0012","A2"
"1107","0022","C"
"1108","0012","A2"
"1108","0022","C"
"1109","0012","A2"
"1109","0022","C"
"111","0040","MLNRV2"
"111","0050",
"1110","0012","A2"
"1110","0022","C"
"1111","0012","A2"
"1111","0022","C"
"1112","0012","A2"
"1112","0022","C"
"1113","0012","A2"
"1113","0022","C"
"1114","0012","A2"
"1114","0022","C"
"1115","0012","A2"
"1115","0022","C"
"1116","0012","A2"
"1116","0022","C"
"1117","0022","C"
"1118","0022","C"
"1119","0022","C"
"112","0040","MLNRV2"
"1120","0022","C"
"1121","0012","A2"
"1121","0022","C"
"1122","0012","A2"
"1122","0022","C"
"1123","0012","A2"
"1123","0022","C"
"1124","0012","A2"
"1124","0022","C"
"1125","0012","A2"
"1125","0022","C"
"1126","0022","C"
"1127","0022","C"
"1128","0022","C"
"1129","0022","C"
"113","0040","MLNRV1"
"113","0050",
"1130","0022","C"
"1131","0012","C"
"1131","0022","C"
"1132","0012","C"
"1132","0022","C"
"1133","0022","C"
"1134","0022","C"
"1135","0022","C"
"1136","0022","C"
"1137","0022","C"
"1138","0022","C"
"1139","0022","C"
"114","0040","MLNRV1"
"1140","0022","C"
"1141","0022","C"
"1142","0022","C"
"1143","0022","C"
"1144","0022","C"
"1145","0022","C"
"1146","0022","C"
"1147","0022","C"
"1148","0022","C"
"1149","0022","C"
"115","0040","MLNRV1"
"115","0050",
"1150","0022","C"
"1151","0022","C"
"1152","0022","C"
"1153","0022","C"
"1154","0022","C"
"1155","0022","C"
"1156","0022","C"
"1157","0022","C"
"1158","0022","C"
"1159","0022","C"
"116","0040","MLNRV1"
"1160","0022","C"
"1161","0022","C"
"1162","0022","C"
"1163","0022","C"
"1164","0022","C"
"1165","0022","C"
"1166","0022","C"
"1167","0022","A2"
"1168","0022","A2"
"1169","0022","A2"
"117","0040","MLNRV1"
"117","0050",
"1170","0022","A2"
"1171","0022","A2"
"1172","0022","A2"
"1173","0022","A2"
"1174","0022","A2"
"1175","0022","A2"
"1176","0022","A2"
"1177","0022","A2"
"1178","0022","A2"
"1179","0022","A2"
"118","0040","MLNRV1"
"1180","0022","A2"
"1181","0022","C"
"1182","0022","C"
"1183","0022","C"
"1184","0022","C"
"1185","0022","C"
"1186","0022","C"
"1187","0022","C"
"1188","0022","C"
"1189","0022","C"
"119","0040","MLNRV1"
"119","0050",
"1190","0022","C"
"1191","0022","C"
"1192","0022","C"
"1193","0022","C"
"1194","0022","C"
"1195","0022","C"
"1196","0022","C"
"1197","0022","C"
"1198","0022","C"
"1199","0022","C"
"12","0012","C"
"12","0017","A2"
"12","0022","C"
"12","0030","C"
"12","0054","MB"
"12","0199","A1"
"120","0040","MLNRV1"
"1200","0022","C"
"1201","0012","A1"
"1201","0022","C"
"1202","0012","A1"
"1202","0022","C"
"1203","0012","A2"
"1203","0022","C"
"1204","0012","A2"
"1204","0022","C"
